Consumer_ID,Age_Group,Gender,Income_Level,Preferred_Category,Purchase_Frequency,Avg_Spend,Channel,Loyalty_Member,Satisfaction_Score
C001,18-24,Female,Low,Snacks,Weekly,22.50,In-Store,No,3.8
C002,18-24,Male,Low,Beverages,Bi-Weekly,18.00,Online,No,3.5
C003,18-24,Female,Medium,Beauty,Monthly,45.00,In-Store,Yes,4.2
C004,18-24,Male,Low,Snacks,Weekly,15.00,In-Store,No,3.2
C005,18-24,Non-Binary,Medium,Electronics,Monthly,89.00,Online,Yes,4.5
C006,25-34,Female,Medium,Beauty,Weekly,55.00,In-Store,Yes,4.6
C007,25-34,Male,Medium,Electronics,Bi-Weekly,120.00,Online,Yes,4.3
C008,25-34,Female,High,Beverages,Weekly,35.00,In-Store,Yes,4.8
C009,25-34,Male,Medium,Snacks,Weekly,28.00,In-Store,No,3.9
C010,25-34,Female,High,Beauty,Weekly,78.00,Online,Yes,4.7
C011,25-34,Male,Medium,Electronics,Monthly,150.00,Online,Yes,4.1
C012,25-34,Female,Medium,Beverages,Bi-Weekly,32.00,In-Store,Yes,4.4
C013,25-34,Male,High,Electronics,Weekly,95.00,Online,Yes,4.9
C014,25-34,Non-Binary,Medium,Snacks,Bi-Weekly,25.00,In-Store,No,3.7
C015,25-34,Female,High,Beauty,Weekly,88.00,In-Store,Yes,4.8
C016,35-44,Male,High,Electronics,Bi-Weekly,175.00,Online,Yes,4.6
C017,35-44,Female,High,Beauty,Weekly,92.00,In-Store,Yes,4.9
C018,35-44,Male,Medium,Beverages,Weekly,42.00,In-Store,Yes,4.2
C019,35-44,Female,High,Beauty,Bi-Weekly,65.00,Online,Yes,4.6
C020,35-44,Male,Medium,Snacks,Monthly,30.00,In-Store,No,3.5
C021,35-44,Female,High,Beverages,Weekly,38.00,In-Store,Yes,4.4
C022,35-44,Male,High,Electronics,Weekly,200.00,Online,Yes,4.7
C023,35-44,Female,Medium,Beauty,Bi-Weekly,58.00,In-Store,Yes,4.3
C024,35-44,Male,Medium,Snacks,Weekly,22.00,In-Store,No,3.6
C025,35-44,Non-Binary,High,Electronics,Monthly,130.00,Online,Yes,4.4
C026,45-54,Female,High,Beauty,Weekly,85.00,In-Store,Yes,4.8
C027,45-54,Male,High,Beverages,Bi-Weekly,48.00,In-Store,Yes,4.5
C028,45-54,Female,Medium,Snacks,Monthly,35.00,Online,No,3.8
C029,45-54,Male,High,Electronics,Monthly,180.00,Online,Yes,4.3
C030,45-54,Female,High,Beauty,Weekly,95.00,In-Store,Yes,4.9
C031,45-54,Male,Medium,Beverages,Weekly,40.00,In-Store,Yes,4.1
C032,45-54,Female,High,Beauty,Bi-Weekly,72.00,Online,Yes,4.6
C033,45-54,Male,Medium,Snacks,Bi-Weekly,28.00,In-Store,No,3.4
C034,45-54,Female,Medium,Beverages,Monthly,30.00,In-Store,No,3.9
C035,45-54,Male,High,Electronics,Bi-Weekly,160.00,Online,Yes,4.5
C036,55-64,Female,Medium,Beverages,Weekly,32.00,In-Store,Yes,4.2
C037,55-64,Male,Medium,Snacks,Monthly,20.00,In-Store,No,3.3
C038,55-64,Female,High,Beauty,Bi-Weekly,68.00,In-Store,Yes,4.5
C039,55-64,Male,Medium,Electronics,Monthly,110.00,Online,No,3.8
C040,55-64,Female,Medium,Beverages,Weekly,28.00,In-Store,Yes,4.0
C041,55-64,Male,Low,Snacks,Monthly,18.00,In-Store,No,3.1
C042,55-64,Female,Medium,Beauty,Monthly,55.00,In-Store,Yes,4.3
C043,55-64,Male,Medium,Beverages,Bi-Weekly,35.00,In-Store,Yes,4.1
C044,55-64,Female,High,Beauty,Weekly,82.00,Online,Yes,4.7
C045,55-64,Male,Medium,Electronics,Monthly,95.00,Online,No,3.6
C046,65+,Female,Medium,Beverages,Weekly,25.00,In-Store,Yes,4.0
C047,65+,Male,Low,Snacks,Monthly,15.00,In-Store,No,3.2
C048,65+,Female,Medium,Beauty,Monthly,42.00,In-Store,Yes,4.1
C049,65+,Male,Medium,Beverages,Bi-Weekly,22.00,In-Store,No,3.5
C050,65+,Female,Low,Snacks,Monthly,12.00,In-Store,No,3.0
C051,18-24,Female,Low,Beverages,Weekly,20.00,Online,No,3.6
C052,18-24,Male,Medium,Electronics,Bi-Weekly,75.00,Online,Yes,4.0
C053,18-24,Female,Low,Snacks,Weekly,16.00,In-Store,No,3.3
C054,25-34,Male,High,Beverages,Weekly,45.00,In-Store,Yes,4.5
C055,25-34,Female,Medium,Electronics,Monthly,110.00,Online,Yes,4.2
C056,25-34,Male,Medium,Snacks,Bi-Weekly,32.00,In-Store,No,3.8
C057,25-34,Female,High,Beauty,Weekly,98.00,In-Store,Yes,4.9
C058,35-44,Male,High,Electronics,Weekly,185.00,Online,Yes,4.6
C059,35-44,Female,Medium,Beverages,Bi-Weekly,38.00,In-Store,Yes,4.3
C060,35-44,Male,Medium,Snacks,Monthly,25.00,In-Store,No,3.4
C061,35-44,Female,High,Beauty,Weekly,88.00,In-Store,Yes,4.7
C062,45-54,Male,High,Electronics,Bi-Weekly,165.00,Online,Yes,4.4
C063,45-54,Female,Medium,Beverages,Weekly,36.00,In-Store,Yes,4.2
C064,45-54,Male,Medium,Snacks,Monthly,22.00,In-Store,No,3.5
C065,45-54,Female,High,Beauty,Weekly,92.00,Online,Yes,4.8
C066,55-64,Male,Medium,Beverages,Bi-Weekly,30.00,In-Store,Yes,3.9
C067,55-64,Female,Medium,Beauty,Monthly,60.00,In-Store,Yes,4.4
C068,55-64,Male,Low,Electronics,Monthly,85.00,Online,No,3.5
C069,65+,Female,Medium,Beverages,Weekly,28.00,In-Store,Yes,4.1
C070,65+,Male,Low,Snacks,Monthly,14.00,In-Store,No,3.0
C071,18-24,Male,Low,Beverages,Bi-Weekly,19.00,Online,No,3.4
C072,18-24,Female,Medium,Beauty,Weekly,48.00,In-Store,Yes,4.3
C073,25-34,Male,High,Electronics,Weekly,140.00,Online,Yes,4.8
