Product_ID,Product_Name,Category,Placement_Type,Store_Region,Month,Units_Sold,Revenue,Placement_Cost,ROI
P001,Organic Green Tea,Beverages,Endcap,North,Jan-2025,342,5130.00,800.00,5.41
P002,Premium Coffee Beans,Beverages,Shelf-Eye-Level,North,Jan-2025,287,7175.00,400.00,16.94
P003,Sparkling Water,Beverages,Checkout,North,Jan-2025,198,990.00,200.00,3.95
P004,Energy Drink Pro,Beverages,Endcap,South,Jan-2025,456,3648.00,800.00,3.56
P005,Herbal Infusion,Beverages,Window,East,Jan-2025,123,1845.00,600.00,2.08
P006,Protein Bar Elite,Snacks,Endcap,North,Jan-2025,512,3584.00,800.00,3.48
P007,Trail Mix Deluxe,Snacks,Shelf-Eye-Level,North,Jan-2025,389,2334.00,400.00,4.84
P008,Dark Chocolate 70%,Snacks,Checkout,South,Jan-2025,634,3170.00,200.00,14.85
P009,Rice Crackers,Snacks,Shelf-Eye-Level,East,Jan-2025,201,1005.00,400.00,1.51
P010,Granola Clusters,Snacks,Window,West,Jan-2025,178,1424.00,600.00,1.37
P011,Face Moisturizer,Beauty,Endcap,North,Feb-2025,289,5780.00,800.00,6.23
P012,Sunscreen SPF50,Beauty,Shelf-Eye-Level,South,Feb-2025,234,4680.00,400.00,10.70
P013,Lip Balm Organic,Beauty,Checkout,East,Feb-2025,567,2268.00,200.00,10.34
P014,Hair Serum Pro,Beauty,Window,West,Feb-2025,145,4350.00,600.00,6.25
P015,Body Lotion Luxe,Beauty,Online-Banner,North,Feb-2025,312,4680.00,500.00,8.36
P016,Wireless Earbuds,Electronics,Endcap,North,Feb-2025,189,9450.00,800.00,10.81
P017,Phone Case Premium,Electronics,Shelf-Eye-Level,South,Feb-2025,345,5175.00,400.00,11.94
P018,USB-C Hub,Electronics,Checkout,East,Feb-2025,156,4680.00,200.00,22.40
P019,Smart Watch Band,Electronics,Window,West,Feb-2025,98,2940.00,600.00,3.90
P020,Bluetooth Speaker,Electronics,Online-Banner,North,Feb-2025,267,10680.00,500.00,20.36
P021,Organic Green Tea,Beverages,Endcap,South,Mar-2025,378,5670.00,800.00,6.09
P022,Premium Coffee Beans,Beverages,Shelf-Eye-Level,East,Mar-2025,312,7800.00,400.00,18.50
P023,Sparkling Water,Beverages,Online-Banner,West,Mar-2025,245,1225.00,500.00,1.45
P024,Energy Drink Pro,Beverages,Checkout,North,Mar-2025,523,4184.00,200.00,19.92
P025,Herbal Infusion,Beverages,Endcap,South,Mar-2025,167,2505.00,800.00,2.13
P026,Protein Bar Elite,Snacks,Shelf-Eye-Level,East,Mar-2025,445,3115.00,400.00,6.79
P027,Trail Mix Deluxe,Snacks,Endcap,West,Mar-2025,356,2136.00,800.00,1.67
P028,Dark Chocolate 70%,Snacks,Checkout,North,Mar-2025,712,3560.00,200.00,16.80
P029,Rice Crackers,Snacks,Online-Banner,South,Mar-2025,234,1170.00,500.00,1.34
P030,Granola Clusters,Snacks,Shelf-Eye-Level,East,Mar-2025,198,1584.00,400.00,2.96
P031,Face Moisturizer,Beauty,Window,West,Apr-2025,198,3960.00,600.00,5.60
P032,Sunscreen SPF50,Beauty,Endcap,North,Apr-2025,345,6900.00,800.00,7.63
P033,Lip Balm Organic,Beauty,Online-Banner,South,Apr-2025,489,1956.00,500.00,2.91
P034,Hair Serum Pro,Beauty,Shelf-Eye-Level,East,Apr-2025,178,5340.00,400.00,12.35
P035,Body Lotion Luxe,Beauty,Checkout,West,Apr-2025,267,4005.00,200.00,19.03
P036,Wireless Earbuds,Electronics,Shelf-Eye-Level,North,Apr-2025,212,10600.00,400.00,25.50
P037,Phone Case Premium,Electronics,Endcap,South,Apr-2025,398,5970.00,800.00,6.46
